year,total_pilgrims,internal_pilgrims,external_pilgrims,official_cap,phase
2017,2352122,612000,1740122,,Normal
2018,2371675,612953,1758722,,Normal
2019,2489406,634379,1855027,,Pre-COVID Peak
2020,1000,1000,0,10000,Strictest Lockdown
2021,60000,60000,0,60000,Locals Only
2022,899353,119434,779919,1000000,Controlled Reopening
2023,1845045,221854,1611310,,Near-Normal Return
