rank,country,region,pilgrims_2017,pilgrims_2023,quota_per_million
1,Indonesia,Southeast Asia,221000,221000,1000
2,Pakistan,South Asia,179210,179210,1000
3,India,South Asia,170000,175000,1000
4,Bangladesh,South Asia,127198,127000,1000
5,Egypt,Arab,108000,108000,1000
6,Iran,Middle East,86500,87500,1000
7,Nigeria,Africa,79000,95000,1000
8,Turkey,Middle East,79000,79000,1000
9,Algeria,Africa,36000,36000,1000
10,Morocco,Africa,31000,31000,1000
